num_ports,buffer_organization,scheduler_choice,hash_choice,avg_latency_ns,max_throughput_gbps,is_line_rate,lut_usage,ff_usage,bram_usage
2,OneBufferPerPort,RoundRobin,FullLookupTable,36.0,61.13,Yes,4140,6660,976
2,OneBufferPerPort,iSLIP,FullLookupTable,48.0,59.8,Yes,4251,4733,976
2,NBuffersPerPort,RoundRobin,FullLookupTable,36.0,61.13,Yes,4140,6660,976
2,NBuffersPerPort,iSLIP,FullLookupTable,48.0,59.8,Yes,4140,6660,976
2,OneBufferPerPort,RoundRobin,MultiBankHash,44.0,60.24,Yes,4993,7055,976
2,OneBufferPerPort,iSLIP,MultiBankHash,56.0,58.94,Yes,5104,5128,976
2,NBuffersPerPort,RoundRobin,MultiBankHash,44.0,60.24,Yes,4993,7055,976
2,NBuffersPerPort,iSLIP,MultiBankHash,56.0,58.94,Yes,4993,7055,976
4,OneBufferPerPort,RoundRobin,FullLookupTable,48.0,59.8,Yes,12685,15948,1952
4,OneBufferPerPort,iSLIP,FullLookupTable,60.0,58.51,Yes,15875,19428,1952
4,NBuffersPerPort,RoundRobin,FullLookupTable,48.0,59.8,Yes,12685,15948,5792
4,NBuffersPerPort,iSLIP,FullLookupTable,60.0,58.51,Yes,12685,15948,5792
4,OneBufferPerPort,RoundRobin,MultiBankHash,60.0,58.51,Yes,18828,17210,1952
4,OneBufferPerPort,iSLIP,MultiBankHash,72.0,57.29,Yes,22018,20690,1952
4,NBuffersPerPort,RoundRobin,MultiBankHash,60.0,58.51,Yes,18828,17210,5792
4,NBuffersPerPort,iSLIP,MultiBankHash,72.0,57.29,Yes,18828,17210,5792
8,OneBufferPerPort,RoundRobin,FullLookupTable,64.0,58.1,Yes,48029,61264,3904
8,OneBufferPerPort,iSLIP,FullLookupTable,76.0,56.89,Yes,62157,64558,3904
8,NBuffersPerPort,RoundRobin,FullLookupTable,64.0,58.1,Yes,48029,61264,26944
8,NBuffersPerPort,iSLIP,FullLookupTable,76.0,56.89,Yes,48029,61264,26944
8,OneBufferPerPort,RoundRobin,MultiBankHash,84.0,56.11,Yes,81564,66844,3904
8,OneBufferPerPort,iSLIP,MultiBankHash,96.0,54.98,Yes,95692,70138,3904
8,NBuffersPerPort,RoundRobin,MultiBankHash,84.0,56.11,Yes,81564,66844,26944
8,NBuffersPerPort,iSLIP,MultiBankHash,96.0,54.98,Yes,81564,66844,26944
16,OneBufferPerPort,RoundRobin,FullLookupTable,104.0,54.25,Yes,191733,258856,7808
16,OneBufferPerPort,iSLIP,FullLookupTable,116.0,53.19,Yes,246857,217778,7808
16,NBuffersPerPort,RoundRobin,FullLookupTable,104.0,54.25,Yes,191733,258856,115328
16,NBuffersPerPort,iSLIP,FullLookupTable,116.0,53.19,Yes,191733,258856,115328
16,OneBufferPerPort,RoundRobin,MultiBankHash,140.0,51.2,Yes,347300,283408,7808
16,OneBufferPerPort,iSLIP,MultiBankHash,152.0,50.26,Yes,402424,242330,7808
16,NBuffersPerPort,RoundRobin,MultiBankHash,140.0,51.2,Yes,347300,283408,115328
16,NBuffersPerPort,iSLIP,MultiBankHash,152.0,50.26,Yes,347300,283408,115328
32,OneBufferPerPort,RoundRobin,FullLookupTable,180.0,48.19,Yes,771205,1081880,15616
32,OneBufferPerPort,iSLIP,FullLookupTable,192.0,47.35,Yes,984801,776058,15616
32,NBuffersPerPort,RoundRobin,FullLookupTable,180.0,48.19,Yes,771205,1081880,476416
32,NBuffersPerPort,iSLIP,FullLookupTable,192.0,47.35,Yes,771205,1081880,476416
32,OneBufferPerPort,RoundRobin,MultiBankHash,248.0,43.81,Yes,1439828,1185720,15616
32,OneBufferPerPort,iSLIP,MultiBankHash,260.0,43.12,Yes,1653424,879898,15616
32,NBuffersPerPort,RoundRobin,MultiBankHash,248.0,43.81,Yes,1439828,1185720,476416
32,NBuffersPerPort,iSLIP,MultiBankHash,260.0,43.12,Yes,1439828,1185720,476416
